progrnumber,actual_stop_id,stop_lat,stop_lon,stop_id,stop_name
1,326,53.34657961,-6.260483805,8220DB000326,"Temple Bar, Aston Quay"
2,1443,53.34512939,-6.269539559,8220DB001443,"Dublin City South, Essex Quay"
3,1444,53.34511841,-6.273745471,8220DB001444,"Dublin City South, Merchant's Quay"
4,1445,53.34567841,-6.27828884,8220DB001445,"James's Gate, Ushers Quay"
5,4407,53.34655233,-6.285298008,8220DB004407,"James's Gate, Guinness Store"
6,2637,53.34588406,-6.29385605,8220DB002637,Outside Heuston Train Station
7,2638,53.34565875,-6.296959097999999,8220DB002638,"Heuston Station, Saint John's Road West"
8,2721,53.34327186,-6.310511085,8220DB002721,"Islandbridge, Con Colbert Road (South Circular Road)"
9,7012,53.34295414,-6.315374679,8220DB007012,"Islandbridge, Con Colbert Road"
10,2644,53.34199059,-6.327382266,8220DB002644,"Islandbridge, Sarsfield Medical Centre"
11,2645,53.34169653,-6.33077287,8220DB002645,"Ballyfermot, Lally Road"
12,2646,53.34149449,-6.33367926,8220DB002646,"Ballyfermot, Decies Road (O'Moore Road)"
13,2647,53.34064707,-6.338007397999999,8220DB002647,"Ballyfermot, Markievicz Park"
14,2648,53.33972302,-6.342653701000001,8220DB002648,"Ballyfermot, Decies Road (Garryowen Rd)"
15,2649,53.33911058,-6.3458010410000005,8220DB002649,"Ballyfermot, Decies Road (Ramillies Rd)"
16,2650,53.33776556,-6.346679022999999,8220DB002650,"Ballyfermot, Landen Road"
17,2652,53.33889045,-6.348077155,8220DB002652,Kylemore Road (Kylemore Avenue)
18,2653,53.34023477,-6.348445685,8220DB002653,"Ballyfermot, Ballyfermot Crescent"
19,2654,53.34129873,-6.348689907000001,8220DB002654,"Ballyfermot, Kylemore Road (Ballyfermot Road)"
20,2655,53.34213816,-6.352847576,8220DB002655,"Ballyfermot, Ballyfermot Parade"
21,2656,53.34262349,-6.358716107,8220DB002656,"Ballyfermot, Ballyfermot Road (Le Fanu Road)"
22,2657,53.34131706,-6.361754866,8220DB002657,"Ballyfermot, Le Fanu Park"
23,2658,53.33916244,-6.361281823,8220DB002658,"Ballyfermot, Oranmore Road"
24,2659,53.33702124,-6.360477948,8220DB002659,"Parkwest, Raheen Park"
25,2660,53.33577504,-6.360705942999999,8220DB002660,"Parkwest, Cherry Orchard Avenue"
26,2661,53.33548606,-6.365191777000001,8220DB002661,"Parkwest, Cherry Orchard Avenue"
27,2662,53.33679352,-6.370097177000001,8220DB002662,"Parkwest, Cherry Orchard Avenue (Croftwood)"
28,2909,53.33740924,-6.37372273,8220DB002909,"Parkwest, Cherry Orchard School"
29,6020,53.33806916,-6.3766409170000005,8220DB006020,"Parkwest, Cherry Orchard Avenue"
30,6023,53.33729944,-6.378862568,8220DB006023,"Parkwest, Barnville Green"
31,6026,53.33559198,-6.3795429829999994,8220DB006026,"Parkwest, Barnville Walk"
32,6027,53.33455462,-6.378606297,8220DB006027,"Parkwest, Railway Bridge"
