progrnumber,actual_stop_id,stop_lat,stop_lon,stop_id,stop_name
1,6030,53.33266792,-6.375359563,8220DB006030,"Parkwest, Park West Avenue"
2,6028,53.33459565,-6.3789801310000005,8220DB006028,"Parkwest, Railway Bridge"
3,6025,53.33591865,-6.379110148,8220DB006025,"Parkwest, Barnville Walk"
4,6024,53.33737273,-6.378964904,8220DB006024,"Parkwest, Barnville Green"
5,6021,53.33820125,-6.377101422000001,8220DB006021,"Parkwest, Cherry Orchard Avenue"
6,7507,53.33741147,-6.373227097000001,8220DB007507,"Parkwest, Cherry Orchard School"
7,2663,53.336914,-6.370362879,8220DB002663,"Parkwest, Cherry Orchard Avenue (Croftwood)"
8,2664,53.3356012,-6.365067246000001,8220DB002664,"Parkwest, Cherry Orchard Avenue"
9,2665,53.33588036,-6.3605217110000005,8220DB002665,"Parkwest, Cherry Orchard Avenue"
10,2666,53.33779018,-6.360838887000001,8220DB002666,"Parkwest, Raheen Park"
11,2667,53.34069763,-6.361808647999999,8220DB002667,"Ballyfermot, Clifden Road"
12,2696,53.34268762,-6.358803755,8220DB002696,"Ballyfermot, Ballyfermot Road (Le Fanu Road)"
13,2697,53.34227747,-6.35317261,8220DB002697,"Ballyfermot, Ballyfermot Parade"
14,2700,53.34125174,-6.348541543,8220DB002700,"Ballyfermot, Kylemore Road (Ballyfermot Road)"
15,2701,53.3401698,-6.348298019,8220DB002701,"Ballyfermot, Kylemore Roundabout"
16,2702,53.33810329999999,-6.347702124,8220DB002702,"Ballyfermot, Kylemore Road (Landen Road)"
17,2703,53.33828471,-6.346523787000001,8220DB002703,"Ballyfermot, Thomond Road"
18,2704,53.33923908,-6.345345547999999,8220DB002704,"Ballyfermot, Decies Road (Ramillies Rd)"
19,2706,53.34003328,-6.341695561,8220DB002706,"Ballyfermot, Decies Road (Garryowen Rd)"
20,6070,53.34088521,-6.337036991000001,8220DB006070,"Ballyfermot, Decies Road"
21,2708,53.34183371,-6.332870065,8220DB002708,"Ballyfermot, Decies Road (O'Moore Road)"
22,5134,53.34168876,-6.330217501,8220DB005134,"Ballyfermot, Lally Road"
23,2718,53.34228226,-6.327671217000001,8220DB002718,"Islandbridge, Sarsfield Road"
24,7435,53.34317893,-6.315380836,8220DB007435,"Islandbridge, Memorial Gardens gate"
25,2722,53.3434371,-6.311390662999999,8220DB002722,"Islandbridge, Memorial Park"
26,4413,53.34616439,-6.292718367000001,8220DB004413,Outside Heuston Train Station
27,1476,53.34700182,-6.284679161000001,8220DB001476,"Wolfe Tone Quay, Ellis Street"
28,7453,53.34633589,-6.278382504,8220DB007453,"Smithfield, Ocean House"
29,1480,53.34569345,-6.270628174,8220DB001480,"Smithfield, Ormond House"
30,2912,53.34463048,-6.267366937999999,8220DB002912,"Temple Bar, Parliament Street"
31,1358,53.34430471,-6.262889389,8220DB001358,"Temple Bar, Central Bank"
